epoch,train_loss,val_loss,learning_rate,epoch_time,ge_accuracy,ge_precision_macro,ge_precision_micro,ge_recall_macro,ge_recall_micro,ge_f1_macro,ge_f1_micro,te_accuracy,te_precision_macro,te_precision_micro,te_recall_macro,te_recall_micro,te_f1_macro,te_f1_micro
1,1.1422741491123087,0.43475254001219243,6.66758811333794e-06,1110.644681930542,0.1675267231846664,0.061231089740494495,0.43314424635332255,0.04128293282850361,0.16755485893416927,0.04470259552944388,0.2416365280289331,0.8235294117647058,0.7604994963242386,0.8235294117647058,0.7822790662077411,0.8235294117647058,0.7684782315419436,0.8235294117647058
2,0.4206993203752274,0.43506565482651705,7.0586513839775635e-06,1110.0628550052643,0.32639144858090674,0.09871521611925613,0.4489878542510121,0.11318175676605012,0.3476489028213166,0.09739229228310312,0.3918727915194346,0.8235294117647058,0.7604669140383427,0.8235294117647058,0.7893253255779319,0.8235294117647058,0.7703384167331037,0.8235294117647058
3,0.3722203986677035,0.4358495507121012,5.882209486647969e-06,1110.1808967590332,0.3514559528197567,0.2154589222759063,0.5075787019043918,0.18173959578336754,0.40940438871473356,0.17005249360935873,0.4532361617213257,0.8288770053475936,0.7622637122495907,0.8288770053475936,0.7822982771673479,0.8288770053475936,0.7695581583047093,0.8288770053475936
4,0.36556882645590916,0.45221273607659723,4.705767589318376e-06,1110.2526323795319,0.38739402875046075,0.31754306741615373,0.5326824424954493,0.28150664600151876,0.5045454545454545,0.2662704199611689,0.5182323110359817,0.8101604278074866,0.7503368269260509,0.8101604278074866,0.765070855603912,0.8101604278074866,0.756607081745129,0.8101604278074866
5,0.36222108943215914,0.4379940565272541,3.5293256919887817e-06,1110.0148911476135,0.3918171765573166,0.39528885888944754,0.5434917676296986,0.33640472425826484,0.5484326018808777,0.32363404664936185,0.5459510063972539,0.8048128342245989,0.7435889666911596,0.8048128342245989,0.7479087202760173,0.8048128342245989,0.7441310396677266,0.8048128342245989
6,0.36052086337321765,0.43671459007790314,2.352883794659188e-06,1110.191386938095,0.3993733873940288,0.45169940859070923,0.5471111111111111,0.37674199334771347,0.5788401253918495,0.3615578351696735,0.5625285605483625,0.820855614973262,0.7603386809269163,0.820855614973262,0.7681575888203074,0.820855614973262,0.762601454727928,0.820855614973262
7,0.35938560707322664,0.43033891727928913,1.176441897329594e-06,1109.9864082336426,0.40029487652045703,0.43093971465105,0.5453118310261167,0.39993851948212444,0.5989028213166144,0.379168345416525,0.5708523194143572,0.8155080213903744,0.7503849319854792,0.8155080213903744,0.7617564608810048,0.8155080213903744,0.7537586961636017,0.8155080213903744
8,0.3591035911561113,0.42922103725590643,0.0,1109.7732772827148,0.3993733873940288,0.4223857671782425,0.546944009118108,0.4130703227247217,0.6017241379310345,0.39013182838545396,0.5730278378983507,0.8235294117647058,0.762857196635884,0.8235294117647058,0.7646153257434097,0.8235294117647058,0.762342981092981,0.8235294117647058
